BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
405.40000000,0.00871600,0.12090000,46522.64000000,0.23800000,0.00000511,3356.86000000,0.07215300
404.70000000,0.00870100,0.12040000,46518.30000000,0.23750000,0.00000511,3362.40000000,0.07227200
405.40000000,0.00871200,0.12080000,46547.41000000,0.23810000,0.00000512,3359.47000000,0.07217700
405.50000000,0.00871400,0.12080000,46530.81000000,0.23790000,0.00000511,3356.96000000,0.07214200
405.30000000,0.00872300,0.12090000,46481.33000000,0.23730000,0.00000510,3350.43000000,0.07208500
406.30000000,0.00871800,0.12090000,46616.66000000,0.23780000,0.00000509,3357.37000000,0.07201700
405.90000000,0.00869800,0.12070000,46654.50000000,0.23770000,0.00000510,3364.08000000,0.07210700
407.30000000,0.00868500,0.12030000,46893.89000000,0.23870000,0.00000510,3383.36000000,0.07215000
407.10000000,0.00869500,0.12060000,46811.99000000,0.23870000,0.00000509,3376.20000000,0.07211500
406.10000000,0.00869900,0.12070000,46703.41000000,0.23830000,0.00000510,3367.17000000,0.07208500
404.10000000,0.00868200,0.12100000,46527.50000000,0.23800000,0.00000511,3339.80000000,0.07178100
405.50000000,0.00870000,0.12090000,46632.18000000,0.23770000,0.00000510,3353.51000000,0.07192400
406.40000000,0.00871100,0.12140000,46648.94000000,0.23740000,0.00000509,3346.97000000,0.07176700
409.00000000,0.00874300,0.12160000,46781.90000000,0.23780000,0.00000509,3362.40000000,0.07187700
409.30000000,0.00872800,0.12160000,46900.74000000,0.23870000,0.00000510,3366.00000000,0.07175300
410.60000000,0.00873600,0.12110000,47008.00000000,0.23970000,0.00000509,3389.12000000,0.07209600
412.10000000,0.00873400,0.12050000,47196.22000000,0.24070000,0.00000510,3420.66000000,0.07247700
413.10000000,0.00877900,0.12090000,47081.63000000,0.24030000,0.00000510,3421.58000000,0.07267500
412.00000000,0.00877400,0.12080000,46972.44000000,0.23980000,0.00000510,3413.23000000,0.07266100
412.80000000,0.00877900,0.12060000,47015.37000000,0.23970000,0.00000509,3421.24000000,0.07277000
414.40000000,0.00879700,0.12070000,47119.85000000,0.24070000,0.00000511,3435.53000000,0.07290500
412.90000000,0.00878600,0.12030000,46990.25000000,0.23960000,0.00000510,3432.05000000,0.07303000
413.50000000,0.00876300,0.12060000,47190.23000000,0.23990000,0.00000508,3428.25000000,0.07264800
412.60000000,0.00872600,0.12050000,47277.66000000,0.23980000,0.00000507,3423.32000000,0.07240400
412.10000000,0.00873800,0.12120000,47165.02000000,0.23960000,0.00000508,3403.56000000,0.07215500
413.50000000,0.00873600,0.12130000,47321.92000000,0.23970000,0.00000506,3408.65000000,0.07203400
413.50000000,0.00874000,0.12110000,47300.00000000,0.24070000,0.00000508,3416.89000000,0.07224400
412.10000000,0.00874400,0.12120000,47117.46000000,0.23980000,0.00000508,3402.62000000,0.07220600
411.00000000,0.00873200,0.12080000,47070.57000000,0.23980000,0.00000509,3401.21000000,0.07226100
411.30000000,0.00874900,0.12110000,47043.52000000,0.23980000,0.00000509,3398.77000000,0.07224400
412.00000000,0.00875100,0.12100000,47074.94000000,0.23990000,0.00000509,3406.60000000,0.07236600
